Language,Speaker tier,Count,Lemma,English lemma,Clarifier,POS,Gender,Number,Tense,Notes,Occurring in files …
cym,crechi,2,,,,,,,,"changed to ""crechy(dd)""",fusser3
cym,crechydd,2,crechydd,heron,,N,M,S,,GPC,fusser3
cym,creision,1,creision,crisps,,N,,P,,in this meaning not in dictionaries,stammers2
cym,crempog,9,crempog,pancake,,N,M,S,,,fusser14
cym,crempogau,1,crempog,pancake,,N,M,P,,,fusser14
cym,crib,6,crib,ridge,,N,MF,S,,,fusser17
cym,cripan,1,cripian,creep,,V,,,INFIN,"""cripian"" is what is in GPC - not sure what should be the lemma form",davies1
cym,criwsio,1,criwsio,cruse,,V,,,INFIN,GyA,stammers2
cym,croesair,1,croesair,crossword,,N,M,S,,GyA,stammers9
cym,croesbwyth,1,croesbwyth,cross-stitch,,N,M,S,,"GPC has ""croes-"" as prefix and ""pwyth""",fusser13
cym,croeseiriau,1,croesair,crossword,,N,M,P,,GyA,roberts1
cym,cryfa,3,cryf,strong,,ADJ,,,,SUP,"davies13,fusser8,stammers3"
cym,crynion,3,crwn,round,,ADJ,,P,,,"fusser9,robert8"
cym,crysau,11,crys,shirt,,N,M,P,,,fusser10
cym,cuddiad,5,cuddio,hide,,V,,,INFIN,,"fusser17,fusser29,fusser32,robert4,roberts3"
cym,cur,1,cur,pain,,N,MF,S,,GPC,fusser27
cym,curiad,1,curiad,beat,,N,M,S,,,fusser12
cym,cwarfod,2,cyfarfod,meet,,V,,,INFIN,form not in dictionaries,fusser23
cym,cwco,1,cwcio,cook,,V,,,INFIN,"GPC: ""cwc(i)o""",davies1
cym,cwd,1,cwd,pouch,,N,M,S,,GPC,fusser9
